"","itemid","test_name","fluid","category"
"1",50225,"POTASSIUM","OTHER BODY FLUID","CHEMISTRY"
"2",50226,"SODIUM","OTHER BODY FLUID","CHEMISTRY"
"3",50227,"SURF/ALBU","OTHER BODY FLUID","CHEMISTRY"
"4",50228,"TOT BILI","OTHER BODY FLUID","CHEMISTRY"
"5",50229,"TOT PROT","OTHER BODY FLUID","CHEMISTRY"
"6",50230,"TOTAL CO2","OTHER BODY FLUID","CHEMISTRY"
"7",50231,"TRIGLYCER","OTHER BODY FLUID","CHEMISTRY"
"8",50232,"UREA N","OTHER BODY FLUID","CHEMISTRY"
"9",50234,"ALBUMIN","PLEURAL","CHEMISTRY"
"10",50235,"AMYLASE","PLEURAL","CHEMISTRY"
"11",50236,"CHLORIDE","PLEURAL","CHEMISTRY"
"12",50237,"CHOLEST","PLEURAL","CHEMISTRY"
"13",50238,"CO2","PLEURAL","CHEMISTRY"
"14",50242,"MISC","PLEURAL","CHEMISTRY"
"15",50243,"POTASSIUM","PLEURAL","CHEMISTRY"
"16",50244,"SODIUM","PLEURAL","CHEMISTRY"
"17",50245,"TOT BILI","PLEURAL","CHEMISTRY"
"18",50247,"TRIGLYCER","PLEURAL","CHEMISTRY"
"19",50250,"OSMOLAL","STOOL","CHEMISTRY"
"20",50252,"SODIUM","STOOL","CHEMISTRY"
"21",50255,"24Prot","URINE","CHEMISTRY"
"22",50257,"<CREAT-P>","URINE","CHEMISTRY"
"23",50258,"<CREAT-U>","URINE","CHEMISTRY"
"24",50259,"<VOL-U>","URINE","CHEMISTRY"
"25",50262,"CALCIUM","URINE","CHEMISTRY"
"26",50264,"CREAT","URINE","CHEMISTRY"
"27",50266,"GLUCOSE","URINE","CHEMISTRY"
"28",50267,"GR HOLD","URINE","CHEMISTRY"
"29",50270,"MAGNESIUM","URINE","CHEMISTRY"
"30",50273,"PHOSPHATE","URINE","CHEMISTRY"
"31",50276,"PROT/CREA","URINE","CHEMISTRY"
"32",50279,"TOTAL CO2","URINE","CHEMISTRY"
"33",50282,"UHOLD","URINE","CHEMISTRY"
"34",50284,"URIC ACID","URINE","CHEMISTRY"
"35",50285,"VOLUME","URINE","CHEMISTRY"
"36",50289,"amphetmn","URINE","CHEMISTRY"
"37",50292,"cocaine","URINE","CHEMISTRY"
"38",50294,"marijuana","URINE","CHEMISTRY"
"39",50297,"pH","URINE","CHEMISTRY"
"40",50299,"BANDS","ASCITES","HEMATOLOGY"
"41",50300,"BASOS","ASCITES","HEMATOLOGY"
"42",50302,"HCT","ASCITES","HEMATOLOGY"
"43",50305,"MESOTHELI","ASCITES","HEMATOLOGY"
"44",50306,"METAS","ASCITES","HEMATOLOGY"
"45",50308,"MYELOS","ASCITES","HEMATOLOGY"
"46",50309,"NUC RBCS","ASCITES","HEMATOLOGY"
"47",50310,"OTHER","ASCITES","HEMATOLOGY"
"48",50312,"POLYS","ASCITES","HEMATOLOGY"
"49",50315," LYMPH","BLOOD","HEMATOLOGY"
"50",50318,"ABS CD4","BLOOD","HEMATOLOGY"
"51",50321,"ABS RET","BLOOD","HEMATOLOGY"
"52",50325,"ADP","BLOOD","HEMATOLOGY"
"53",50326,"ANISOCYT","BLOOD","HEMATOLOGY"
"54",50327,"ANTIPLASM","BLOOD","HEMATOLOGY"
"55",50328,"APT TEST","BLOOD","HEMATOLOGY"
"56",50329,"ARACH AC","BLOOD","HEMATOLOGY"
"57",50331,"ATYPS","BLOOD","HEMATOLOGY"
"58",50335,"BLASTS","BLOOD","HEMATOLOGY"
"59",50336,"BLEED TM","BLOOD","HEMATOLOGY"
"60",50338,"CD10","BLOOD","HEMATOLOGY"
"61",50341,"CD13","BLOOD","HEMATOLOGY"
"62",50344,"CD15","BLOOD","HEMATOLOGY"
"63",50347,"CD19","BLOOD","HEMATOLOGY"
"64",50349,"CD20","BLOOD","HEMATOLOGY"
"65",50352,"CD3","BLOOD","HEMATOLOGY"
"66",50355,"CD38","BLOOD","HEMATOLOGY"
"67",50358,"CD41","BLOOD","HEMATOLOGY"
"68",50360,"CD5","BLOOD","HEMATOLOGY"
"69",50363,"CD59","BLOOD","HEMATOLOGY"
"70",50366,"CD71","BLOOD","HEMATOLOGY"
"71",50368,"CHR","BLOOD","HEMATOLOGY"
"72",50369,"COLLAGEN","BLOOD","HEMATOLOGY"
"73",50372,"ENVELOP","BLOOD","HEMATOLOGY"
"74",50373,"EOS","BLOOD","HEMATOLOGY"
"75",50375,"EPI","BLOOD","HEMATOLOGY"
"76",50377,"FETAL HGB","BLOOD","HEMATOLOGY"
"77",50379,"FMC-7","BLOOD","HEMATOLOGY"
"78",50382,"GRAN CT","BLOOD","HEMATOLOGY"
"79",50386,"HGB","BLOOD","HEMATOLOGY"
"80",50388,"HGB A2","BLOOD","HEMATOLOGY"
"81",50391,"HGB S","BLOOD","HEMATOLOGY"
"82",50395,"HYPERSEG","BLOOD","HEMATOLOGY"
"83",50398,"INH SCR","BLOOD","HEMATOLOGY"
"84",50399,"INR(PT)","BLOOD","HEMATOLOGY"
"85",50400,"IPT","BLOOD","HEMATOLOGY"
"86",50402,"KAPPA","BLOOD","HEMATOLOGY"
"87",50403,"LAMBDA","BLOOD","HEMATOLOGY"
"88",50406,"LPLT","BLOOD","HEMATOLOGY"
"89",50407,"LUPUS","BLOOD","HEMATOLOGY"
"90",50411,"MCH","BLOOD","HEMATOLOGY"
"91",50414,"METAS","BLOOD","HEMATOLOGY"
"92",50416,"MONO CT","BLOOD","HEMATOLOGY"
"93",50420,"NUC RBCS","BLOOD","HEMATOLOGY"
"94",50422,"OTHER","BLOOD","HEMATOLOGY"
"95",50425,"PARST SMR","BLOOD","HEMATOLOGY"
"96",50427,"PLASMA","BLOOD","HEMATOLOGY"
"97",50429,"PLT SMR","BLOOD","HEMATOLOGY"
"98",50430,"PLTCLM","BLOOD","HEMATOLOGY"
"99",50431,"POIKILOCY","BLOOD","HEMATOLOGY"
"100",50432,"POLYCHROM","BLOOD","HEMATOLOGY"
"101",50434,"PROMYELO","BLOOD","HEMATOLOGY"
"102",50435,"PROT C AG","BLOOD","HEMATOLOGY"
"103",50436,"PROT C FN","BLOOD","HEMATOLOGY"
"104",50437,"PROT S AG","BLOOD","HEMATOLOGY"
"105",50438,"PROT S FN","BLOOD","HEMATOLOGY"
"106",50439,"PT","BLOOD","HEMATOLOGY"
"107",50440,"PTT","BLOOD","HEMATOLOGY"
"108",50441,"QUAN G6PD","BLOOD","HEMATOLOGY"
"109",50443,"RBCF","BLOOD","HEMATOLOGY"
"110",50448,"RET MAN","BLOOD","HEMATOLOGY"
"111",50449,"RISTOCETN","BLOOD","HEMATOLOGY"
"112",50451,"SED RATE","BLOOD","HEMATOLOGY"
"113",50454,"SICKLE PR","BLOOD","HEMATOLOGY"
"114",50457,"SUGAR H2O","BLOOD","HEMATOLOGY"
"115",50463,"VIII","BLOOD","HEMATOLOGY"
"116",50468,"WBC","BLOOD","HEMATOLOGY"
"117",50469,"X","BLOOD","HEMATOLOGY"
"118",50473,"YOUNG","BLOOD","HEMATOLOGY"
"119",50474,"CD10","BONE MARROW","HEMATOLOGY"
"120",50477,"CD11C","BONE MARROW","HEMATOLOGY"
"121",50479,"CD14","BONE MARROW","HEMATOLOGY"
"122",50481,"CD16","BONE MARROW","HEMATOLOGY"
"123",50483,"CD19","BONE MARROW","HEMATOLOGY"
